0.000000000,br
0.387482993,k
0.581224489,hc
0.751020408,hc
0.927346938,hc
1.097142857,sb
1.301768707,hc
1.462857142,hc
1.613061224,hc
1.791564625,hc
1.954829931,hc
2.155102040,k
2.329251700,hc
2.504489795,sb
2.712380952,hc
2.880000000,hc
3.047619047,hc
3.226122448,k
3.400272108,hc
3.556825396,hc
3.724444444,hc
3.902040816,sb
4.092517006,hc
4.239795918,hc
4.395918367,hc
4.569387755,hc
4.733673469,hc
4.924081632,k
5.085170068,k
5.247959183,sb
5.437823129,hc
5.603061224,hc
5.763265306,hc
5.942857142,k
6.109183673,hc
6.284693877,hc
6.447959183,hc
6.628571428,sb
6.826666666,hc
6.970408163,hc
7.145918367,hc
7.312244897,hc
7.481632653,hc
7.653877551,k
7.829591836,hc
7.990204081,sb
8.161814058,hc
8.328571428,hc
8.492857142,hc
8.668299319,k
8.805079365,hc
8.902040816,hc
8.981768707,k
9.160272108,k
9.315918367,sb
9.504761904,hc
9.646984126,hc
9.823492063,k
9.978412698,hc
10.132244897,sb
10.314013605,k
10.477460317,hc
10.625306122,sb
10.778775510,sb
10.935510204,sb
11.108571428,sb
11.297959183,k
11.461587301,hc
11.636825396,hc
11.809523809,hc
11.964081632,sb
12.158548752,hc
12.302040816,hc
12.480000000,hc
12.637460317,hc
12.806349206,hc
13.000272108,k
13.165714285,hc
13.332244897,sb
13.512562358,hc
13.666031746,hc
13.838730158,hc
14.010340136,k
14.176507936,hc
14.356825396,hc
14.514285714,hc
14.680816326,sb
14.871111111,hc
15.024761904,hc
15.192380952,hc
15.352380952,hc
15.526349206,hc
15.685079365,k
15.821315192,hc
15.910204081,x
16.019591836,sb
16.170521541,hc
16.262857142,x
16.375510204,sb
16.541315192,k
16.721269841,k
16.886167800,ho
17.056507936,hc
17.223401360,hc
17.397551020,sb
17.575510204,x
17.737142857,hc
17.906938775,hc
18.065306122,hc
18.243265306,hc
18.407619047,k
18.581768707,k
18.738321995,sb
18.932244897,hc
19.087346938,hc
19.250612244,hc
19.423492063,k
19.500408163,x
19.581678004,x
19.637551020,x
19.756916099,hc
19.942312925,k
20.088163265,sb
20.280816326,hc
20.427755102,hc
20.601904761,k
20.666122448,x
20.917551020,sb
21.086621315,k
21.227755102,sb
21.397551020,sb
21.568435374,k
21.716462585,hc
21.874285714,sb
22.044444444,k
22.195374149,x
22.574149659,hc
22.729795918,sb
22.907936507,hc
23.054512471,hc
23.225759637,k
23.390476190,hc
23.529795918,sb
23.704671201,k
23.877369614,hc
24.042448979,sb
24.166530612,sb
24.363537414,hc
24.508662131,hc
24.688616780,k
24.839546485,hc
25.023854875,x
25.358367346,sb
25.525986394,hc
25.672562358,hc
25.832199546,k
25.980952380,x
26.161632653,sb
26.337233560,k
26.496870748,hc
26.635102040,sb
26.804897959,sb
26.978684807,hc
27.135419501,hc
27.304489795,k
27.447437641,x
27.639002267,hc
27.795736961,hc
27.967346938,sb
28.129523809,hc
28.281904761,hc
28.442993197,k
28.614240362,hc
28.754285714,sb
28.937142857,k
29.082993197,hc
29.239727891,sb
29.404081632,sb
29.567346938,sb
29.724081632,sb
29.889886621,x
