Filename,Contributor,Date obtained,Source,Sex,md5sum,URL
callout_adiao.wav,Adiao,2008-12-19,c,f,a8aa8b86361a0ecba6dd971873dcc356,
callout_mouss.wav,Mouss,2008-12-15,c,m,876d5c2f9414be0f4c1b44db44c8a17c,
callout_luckeymonkey.wav,luckeymonkey,2008-12-05,c,f,e0faaa568306d70cbf8503df74d580e8,
callout_azeem.wav,Azeem,2008-12-05,c,m,fcacd3ef3bb2d426b17db8d6426d4385,
callout_Turn-Table.wav,Turn-Table,2008-12-05,c,m,67b960c042be7537a20e993699c47647,
battleclip_daq.wav,daq,2008-12-13,o,m,a3cf428c9720f1a7b35556ad4e7e976f,
snare_hex.wav,hex,2008-12-05,o,m,fa873b1eed425cb9e346c7f9bfe5e805,
putfile_pepouni.wav,Pepouni,2008-06-07,o,m,271d2b6506672d40c3ea5d0989ba0883,http://media.putfile.com/Freestylebattle-for-hbb---flow
putfile_vonny.wav,vonny,2008-05-18,o,m,7bbfd9d1ad494acd0f11e0e6e4b4523f,http://media.putfile.com/Vonny-vs-Daq
putfile_william.wav,William,2008-04-22,o,m,f86a53038939696f638f948eae54233d,http://media.putfile.com/Battle-against-DBZ
putfile_dbztenkaichi.wav,DBZ-tenkaichi,2007-11-02,o,m,ebc52efe3615d8b3e41e1bc35d54957f,http://media.putfile.com/Battle-Clip-Vs-Incorporated-FX
putfile_bui.wav,Bui,2008-07-22,o,m,1916e4af8774df20fd62a0744887d8ef,
callout_Pneumatic.wav,Pneumatic,2009-01-15,c,m,9fd717e7400c464997b2a131fd0004ea,
callout_mcld.wav,mcld,2009-01-19,c,m,c45e79bee1169af86d807c1878c32e8e,
